0	2986	-1
0	6726	-2
0	5522	-3
1	2986	-1
1	6726	-2
1	5522	-3
2	267	-1
2	2986	-2
2	6726	-3
3	2986	-1
3	6726	-2
3	2647	-3
4	6726	-1
4	2986	-2
4	2647	-3
5	2986	-1
5	6726	-2
6	2986	-1
6	6726	-2
6	2647	-3
7	2986	-1
7	6726	-2
7	2647	-3
9	2986	-1
9	6726	-2
9	2647	-3
10	2986	-1
10	6726	-2
10	2647	-3
11	2986	-1
11	6726	-2
11	2647	-3
12	2986	-1
12	6726	-2
12	2647	-3
13	267	-1
13	2986	-2
13	6726	-3
14	8726	-1
14	10772	-2
14	10694	-3
15	267	-1
15	2986	-2
15	6726	-3
16	267	-1
16	2986	-2
16	6726	-3
17	2986	-1
17	6726	-2
17	5522	-3
18	2707	-1
18	2986	-2
18	6726	-3
20	267	-1
20	2986	-2
20	6726	-3
21	267	-1
21	2986	-2
21	6726	-3
22	6726	-1
22	2986	-2
22	5522	-3
23	2986	-1
23	6726	-2
23	5522	-3
25	2986	-1
25	6726	-2
25	5522	-3
27	2986	-1
27	6726	-2
27	5522	-3
28	653	-1
28	2986	-2
28	6726	-3
29	2986	-1
29	6726	-2
29	5522	-3
30	2986	-1
30	6726	-2
30	5522	-3
32	267	-1
32	2986	-2
32	6726	-3
33	2318	-1
33	2986	-2
33	6726	-3
34	2986	-1
34	6726	-2
34	2647	-3
35	267	-1
35	2986	-2
35	6726	-3
36	2986	-1
36	6726	-2
36	5522	-3
37	2986	-1
37	6726	-2
37	2647	-3
38	2986	-1
38	6726	-2
38	2647	-3
39	267	-1
39	2986	-2
39	6726	-3
40	267	-1
40	2986	-2
40	6726	-3
41	2986	-1
41	6726	-2
41	5522	-3
42	2986	-1
42	6726	-2
42	2647	-3
44	267	-1
44	2986	-2
44	6726	-3
45	2986	-1
45	6726	-2
45	5522	-3
46	267	-1
46	2986	-2
46	6726	-3
47	267	-1
47	2986	-2
47	6726	-3
48	2986	-1
48	6726	-2
48	2647	-3
50	2986	-1
50	6726	-2
50	2647	-3
51	2986	-1
51	6726	-2
51	2647	-3
52	267	-1
52	2986	-2
52	6726	-3
53	267	-1
53	2986	-2
53	6726	-3
54	2986	-1
54	6726	-2
